ques,right,answears
"Quá trình diễn ra chủ yếu ở phần nào của lò cao?","Phần đáy lò","Phần thân lò;Phần bụng lò;Phần đáy lò;Phần cổ lò"
"Sau khi chế tạo phôi, công đoạn tiếp theo để tạo ra sản phẩm hoàn chỉnh là gì?","Gia công","Sơn phủ;Gia công;Lắp ráp;Kiểm tra"
"Các phương pháp gia công phổ biến để tạo ra chi tiết từ phôi là gì?","Tiện, phay, khoan","Đúc, hàn;Tiện, phay, khoan;Sơn, mạ;Ép, dập"
"Mục đích của việc xử lý bề mặt chi tiết sau khi gia công là gì?","Cải thiện chất lượng bề mặt","Làm đẹp sản phẩm;Tăng độ cứng cho sản phẩm;Cải thiện chất lượng bề mặt;Giảm chi phí sản xuất"
"Các phương pháp xử lý bề mặt thường được sử dụng là gì?","Nhiệt luyện, hóa nhiệt luyện, phun phủ","Hàn, cắt;Nhiệt luyện, hóa nhiệt luyện, phun phủ;Đúc, tiện;Ép, dập"
"Sau khi gia công và xử lý bề mặt, chi tiết sẽ được đưa vào công đoạn nào tiếp theo?","Kiểm tra","Vứt bỏ;Bán;Kiểm tra;Bảo quản"
"Để gia công chi tiết má động cơ có hình dạng phức tạp, người ta thường sử dụng phương pháp nào?","Tiện, phay, khoan","Tiện, phay, khoan;Đúc;Hàn;Ép"
"Tại sao cần sơn các mặt không làm việc của má động cơ?","Để chống ăn mòn","Để tăng tính thẩm mỹ;Để chống ăn mòn;Để tăng độ cứng;Để giảm trọng lượng"
"Mục đích chính của quá trình lắp ráp là gì?","Ghép các chi tiết lại để tạo thành sản phẩm hoàn chỉnh","Tạo ra các chi tiết nhỏ hơn;Ghép các chi tiết lại để tạo thành sản phẩm hoàn chỉnh;Làm đẹp sản phẩm;Kiểm tra chất lượng sản phẩm"
"Sau khi lắp ráp, công việc tiếp theo cần thực hiện là gì?","Kiểm tra chất lượng sản phẩm","Gia công chi tiết;Kiểm tra chất lượng sản phẩm;Sơn phủ sản phẩm;Đóng gói sản phẩm"
"Việc kiểm tra chất lượng sản phẩm sau khi lắp ráp có ý nghĩa như thế nào?","Đảm bảo sản phẩm hoạt động đúng và đạt chất lượng","Đảm bảo sản phẩm đẹp mắt;Đảm bảo sản phẩm hoạt động đúng và đạt chất lượng;Giảm chi phí sản xuất;Tăng tuổi thọ của sản phẩm"
"Đối với các sản phẩm có nhiều chi tiết chuyển động, cần kiểm tra gì sau khi lắp ráp?","Kiểm tra hoạt động của các chi tiết chuyển động","Kiểm tra màu sắc của sản phẩm;Kiểm tra kích thước của các chi tiết;Kiểm tra hoạt động của các chi tiết chuyển động;Kiểm tra trọng lượng của sản phẩm"
"Mục đích chính của việc đóng gói sản phẩm là gì?","Tạo điều kiện thuận lợi cho việc vận chuyển, bảo quản và tiêu thụ sản phẩm","Làm cho sản phẩm đẹp mắt hơn;Bảo quản sản phẩm trong thời gian dài;Tạo điều kiện thuận lợi cho việc vận chuyển, bảo quản và tiêu thụ sản phẩm;Giảm chi phí sản xuất"
"Khi đóng gói sản phẩm, cần lưu ý điều gì?","Chọn vật liệu đóng gói phù hợp với kích thước và trọng lượng của sản phẩm","Chỉ sử dụng một loại vật liệu để đóng gói;Không cần quan tâm đến kích thước và trọng lượng của sản phẩm;Chọn vật liệu đóng gói phù hợp với kích thước và trọng lượng của sản phẩm;Đóng gói càng chặt càng tốt"
"Các vật liệu thường được sử dụng để đóng gói sản phẩm là gì?","Giấy, carton, xốp, mút","Gỗ, sắt, nhựa;Giấy, carton, xốp, mút;Thủy tinh, gốm;Vải, da"
"Những biểu tượng nào thường được in trên bao bì sản phẩm?","Các biểu tượng cảnh báo về nhiệt độ, độ ẩm, va đập...","Hình người, động vật;Các biểu tượng cảnh báo về nhiệt độ, độ ẩm, va đập...;Các hình ảnh quảng cáo sản phẩm;Các chữ cái, con số ngẫu nhiên"
"Việc bảo quản sản phẩm trong kho có ý nghĩa như thế nào?","Giúp sản phẩm giữ được chất lượng đến tay người tiêu dùng","Giúp sản phẩm nhanh hỏng hơn;Giúp sản phẩm giữ được chất lượng đến tay người tiêu dùng;Giúp tiết kiệm diện tích kho;Giúp sản phẩm dễ bị hư hỏng hơn"
"Robot công nghiệp được sử dụng chủ yếu trong lĩnh vực nào?","Sản xuất công nghiệp","Nông nghiệp;Dịch vụ;Sản xuất công nghiệp;Y tế"
"Ưu điểm lớn nhất của việc sử dụng robot trong sản xuất là gì?","Tăng năng suất và chất lượng sản phẩm","Giảm chi phí sản xuất;Tăng tính thẩm mỹ cho sản phẩm;Tăng năng suất và chất lượng sản phẩm;Giảm nhu cầu nhân lực"
"Robot công nghiệp có thể thực hiện những công việc nào?","Thực hiện nhiều công việc phức tạp, đòi hỏi độ chính xác cao","Chỉ thực hiện các công việc đơn giản;Thực hiện nhiều công việc phức tạp, đòi hỏi độ chính xác cao;Chỉ làm việc trong môi trường sạch sẽ;Không thể thay thế con người trong sản xuất"
"Việc ứng dụng robot trong sản xuất có ảnh hưởng như thế nào đến người lao động?","Giúp con người tránh làm các công việc nặng nhọc, nguy hiểm","Làm giảm số lượng việc làm cho con người;Giúp con người tránh làm các công việc nặng nhọc, nguy hiểm;Tăng cường cạnh tranh giữa người với máy móc;Không có ảnh hưởng gì đến người lao động"
"Robot công nghiệp được điều khiển bằng cách nào?","Bằng các chương trình máy tính","Bằng sức người;Bằng năng lượng mặt trời;Bằng các chương trình máy tính;Bằng sóng siêu âm"
"Dữ liệu thu thập được từ các cảm biến được sử dụng để làm gì?","Phân tích để tìm ra các vấn đề và cải tiến quá trình sản xuất","Lưu trữ và không có tác dụng gì;Chỉ dùng để hiển thị trên màn hình;Phân tích để tìm ra các vấn đề và cải tiến quá trình sản xuất;Bán cho các công ty khác"
"Công nghệ cảm biến được sử dụng chủ yếu để làm gì trong quá trình sản xuất?","Thu thập dữ liệu để giám sát và điều khiển quá trình sản xuất","Điều khiển robot;Kiểm soát chất lượng sản phẩm cuối cùng;Thu thập dữ liệu để giám sát và điều khiển quá trình sản xuất;Tự động hóa toàn bộ quá trình sản xuất"
