ques,answers,right
"Thành tựu lớn nhất mà các nước Đông Nam Á đạt được trong quá trình tái thiết và phát triển đất nước từ năm 2018 là gì?","Trở thành nền kinh tế lớn thứ 5 của thế giới;Đạt được sự thống nhất kinh tế;Trở thành trung tâm văn hóa;Xây dựng hệ thống giáo dục tiên tiến","Trở thành nền kinh tế lớn thứ 5 của thế giới"
"Sau nhiều thế kỉ là thuộc địa của chủ nghĩa thực dân, phần lớn các nước Đông Nam Á đều có chung mục tiêu là gì?","Tái thiết, hợp tác cùng phát triển;Mở rộng lãnh thổ;Thành lập các đế chế mới;Đẩy mạnh quân sự hóa","Tái thiết, hợp tác cùng phát triển"
"Một trong những kết quả mà cuộc cải cách của vua Rama V mang lại là gì?","Giúp Xiêm thoát khỏi nguy cơ trở thành thuộc địa của các nước đế quốc nhờ chính sách ngoại giao mềm dẻo;Nâng cao vị thế quân sự của Xiêm;Tạo ra các khu vực công nghiệp hóa;Phát triển nền giáo dục quốc tế","Giúp Xiêm thoát khỏi nguy cơ trở thành thuộc địa của các nước đế quốc nhờ chính sách ngoại giao mềm dẻo"
"Từ 1991, nước Cộng hòa Cu-ba đã phải đối mặt với nhiều khó khăn thách thức, đặc biệt là gì?","Lệnh cấm vận kéo dài của Mỹ và phương Tây;Suy giảm dân số nghiêm trọng;Khủng hoảng lương thực;Tăng trưởng kinh tế chậm lại","Lệnh cấm vận kéo dài của Mỹ và phương Tây"
"Để chia rẽ khối đoàn kết và sức mạnh dân tộc của các nước Đông Nam Á, thực dân phương Tây đã thực hiện chính sách gì?","Chia để trị;Đánh thuế nặng vào hàng hóa nội địa;Tăng cường kiểm soát quân sự;Đẩy mạnh khai thác tài nguyên","Chia để trị"
"Điểm chung của tình hình các nước Đông Nam Á đầu thế kỷ XX là gì?","Hầu hết là thuộc địa của các nước đế quốc Phương Tây (trừ Xiêm);Đều có nền kinh tế phát triển mạnh;Là trung tâm giao thương quốc tế;Tất cả các nước đã độc lập","Hầu hết là thuộc địa của các nước đế quốc Phương Tây (trừ Xiêm)"
"Biến đổi quan trọng nhất của khu vực Đông Nam Á từ sau Chiến tranh thế giới thứ hai đến nay là gì?","Lần lượt các nước đã trở thành các quốc gia độc lập tự chủ;Chuyển đổi sang nền kinh tế thị trường;Thành lập các tổ chức khu vực;Mở rộng hợp tác quốc tế","Lần lượt các nước đã trở thành các quốc gia độc lập tự chủ"
"Nhiệm vụ lịch sử gì đặt ra đối với các dân tộc Đông Nam Á trước cuộc xâm lược của thực dân phương Tây?","Cải cách kinh tế, chính trị xã hội, đoàn kết dân tộc, đứng lên đấu tranh bảo vệ độc lập;Đẩy mạnh khai thác tài nguyên;Mở rộng giao lưu văn hóa;Tăng cường giáo dục và đào tạo","Cải cách kinh tế, chính trị xã hội, đoàn kết dân tộc, đứng lên đấu tranh bảo vệ độc lập"
"Người lãnh đạo chỉ huy cuộc kháng chiến chống quân xâm lược Tống lần 2 (1075 – 1077) là ai?","Lý Thường Kiệt;Trần Hưng Đạo;Ngô Quyền;Đinh Bộ Lĩnh","Lý Thường Kiệt"
"Năm 40, Hai Bà Trưng đã tổ chức cuộc khởi nghĩa chống lại chính quyền đô hộ nào?","Nhà Đông Hán;Nhà Tống;Nhà Nguyên;Nhà Minh","Nhà Đông Hán"
